data,casosconfirmados,chuva,temperaturamedia,temperaturamininima,temperaturamaxima
20100701,11,54.8,19.6,14.9,22.7
20100801,10,,19.6,13.5,24.3
20100901,5,68.6,22.1,15.9,26.4
20101001,5,61.8,21.6,16.3,26.8
20101101,8,115.4,23.2,19.7,27.2
20101201,12,201.7,24.2,19.3,26.3
20110101,68,403.6,22.7,18.9,26.4
20110201,288,166.8,24.9,21.3,26.4
20110301,658,218.2,22.6,18.4,26.4
20110401,1202,95.3,22.2,17.5,25.5
20110501,714,41.9,18.8,15.1,21.5
20110601,133,59.8,16.4,9.8,20
20110701,26,6.6,19.1,13.3,22.2
20110801,11,25.5,20.2,10.1,26.6
20110901,13,15.6,21.4,14.9,25.8
20111001,23,155.6,22.8,19.3,27.2
20111101,22,280.9,21.9,16.8,26.4
20111201,20,206.1,23.5,18.9,25.9
20120101,49,301.4,22.1,18.7,24.9
20120201,53,137.4,25,22,28
20120301,152,148.4,24.7,18.6,26.7
20120401,352,213.9,22.7,16.5,25.5
20120501,205,73.1,18.7,13,21.1
20120601,88,165.5,18.4,16,21.5
20120701,18,40.6,18.1,11.7,22.6
20120801,12,,20.3,17.5,21.6
20120901,8,24.3,22.3,12.2,27
20121001,6,100.7,24.6,18.5,29
20121101,11,93.9,23.9,20.5,27.8
20121201,25,133.3,25.9,21.4,28.2
20130101,145,252.9,23.6,17.5,26.3
20130201,496,136.5,24.6,20.5,27.5
20130301,1853,15.3,23.8,19.3,27.4
20130401,2703,93.3,21.8,18.3,25.9
20130501,1277,62.8,20.2,14.8,23.8
20130601,304,69.5,19.5,15.7,21.8
20130701,36,60.6,17.7,9.5,21.4
20130801,26,3.5,19,9.6,23.5
20130901,35,31.8,21.6,16.3,27.9
20131001,30,81.1,22.4,18.5,27.7
20131101,21,85.8,23.8,17.3,28.6
20131201,50,97.8,25.6,23,29.7
20140101,262,181.4,26.5,23.2,28.9
20140201,1660,14.1,27.2,23.5,30.1
